cluster,num_elementos,media_latitud,media_longitud,max_hora,min_hora,id_estacion_proxima,longitud_estacion,latitud_estacion,suma_intensidad,probabilidad_accidente,geometry_accidente,geometry_estacion,osmid_acc,dist_acc,osmid_est,dist_est
192,24,40.41315537822673,-3.6099137238045818,1310,20,3783,-3.6099621477194894,40.410807777831565,7180152,3.342547622947258e-06,POINT (-3.6099137238045818 40.41315537822673),POINT (-3.6099621477194894 40.410807777831565),"[15241769, 1354652366, 15241775]",4206.630706590838,"[15241769, 1354652366, 15241775]",6219.431010292019
193,27,40.4030043919288,-3.6166688336598374,1384,575,6212,-3.616231068173545,40.405272650153165,2532372,1.0661940662746232e-05,POINT (-3.6166688336598374 40.4030043919288),POINT (-3.616231068173545 40.405272650153165),"[15241769, 1354652366, 15241775]",3713.030606918107,"[15241769, 1354652366, 15241775]",4178.2606632321
196,17,40.40661798166332,-3.6135542860876875,1125,560,6198,-3.613796746039573,40.4069749056278,2212508,7.683588036743823e-06,POINT (-3.6135542860876875 40.40661798166332),POINT (-3.613796746039573 40.4069749056278),"[15241769, 1354652366, 15241775]",4257.745922840882,"[15241769, 1354652366, 15241775]",4152.101371313467
200,20,40.38208756940675,-3.7867914687160615,1250,140,6943,-3.7834170825507285,40.3847656854681,25064545,7.979398788208603e-07,POINT (-3.7867914687160615 40.38208756940675),POINT (-3.7834170825507285 40.3847656854681),302644186,6748.6902340463785,302644186,2978.484557605206
207,18,40.369549503485395,-3.766011717730055,1305,455,5261,-3.7663099059149423,40.36902959060944,6863990,2.6223814428634073e-06,POINT (-3.766011717730055 40.369549503485395),POINT (-3.7663099059149423 40.36902959060944),"[248905968, 11101830]",3595.7973951287613,"[248905968, 11101830]",3549.1049155447454
208,14,40.36693418121244,-3.7667081515092646,1390,80,5261,-3.7663099059149423,40.36902959060944,7506939,1.8649412230471036e-06,POINT (-3.7667081515092646 40.36693418121244),POINT (-3.7663099059149423 40.36902959060944),"[248905968, 11101830]",4521.266351920679,"[248905968, 11101830]",4483.825289767845
209,15,40.38174129174904,-3.7766677187259363,810,105,5160,-3.7719765909251644,40.38251793942889,530692,2.8264982324964385e-05,POINT (-3.7766677187259363 40.38174129174904),POINT (-3.7719765909251644 40.38251793942889),302644186,4521.266351920679,302644186,4483.825289767845
210,13,40.38120518554551,-3.7797495612562884,1420,160,6944,-3.783314569763643,40.38471535171104,6482077,2.0055300176162673e-06,POINT (-3.7797495612562884 40.38120518554551),POINT (-3.783314569763643 40.38471535171104),"[248905968, 11101830]",3329.883001829774,"[248905968, 11101830]",3234.6382784303637
211,15,40.4878619790148,-3.703779460359925,1294,475,5881,-3.7015797800743973,40.48894938699247,10899957,1.376152217848199e-06,POINT (-3.703779460359925 40.4878619790148),POINT (-3.7015797800743973 40.48894938699247),"[248905968, 11101830]",3399.88774441399,"[248905968, 11101830]",3509.9930083373515
212,12,40.373616387537496,-3.7707528450101333,1426,825,5312,-3.7715447300546545,40.374078406317125,3028405,3.962481900538402e-06,POINT (-3.7707528450101333 40.373616387537496),POINT (-3.7715447300546545 40.374078406317125),4101279,2514.169625024578,4101279,2512.02844234168
